hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Title,Description
12,12,732,12/08/20,03:41:03,3.684166666666667,12/08/20,03:41:03,Client Meeting,sasas,
12,12,732,12/08/20,03:41:05,3.6847222222222227,12/08/20,03:41:05,Client Meeting,,
12,12,732,12/08/20,03:41:07,3.685277777777778,12/08/20,03:41:07,Project B meeting,,
12,12,732,12/08/20,03:41:08,3.6855555555555557,12/08/20,03:41:08,Project A,,
1,12,72,12/08/20,03:41:10,3.6861111111111113,12/08/20,03:41:10,Project A,,
1,2,62,12/08/20,03:41:12,3.686666666666667,12/08/20,03:41:12,Project A,,
01,2,62,12/08/20,03:41:14,3.6872222222222226,12/08/20,03:41:14,Project A,,
01,12,72,12/08/20,03:41:16,3.687777777777778,12/08/20,03:41:16,Project A,,
01,12,72,12/08/20,03:41:18,3.6883333333333335,12/08/20,03:41:18,Project C meeting,,
01,12,72,12/08/20,03:41:20,3.688888888888889,12/08/20,03:41:20,Project C,,
01,12,72,12/08/20,03:41:23,3.6897222222222226,12/08/20,03:41:23,Meeting,,
