hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Title,Description
12,1,721,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Meeting,,
12,1,721,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project C,,
12,1,721,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Client Meeting,,
12,1,721,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project B,,
12,23,743,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project B,,
1,23,83,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project B,,
0,23,23,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project B,,
0,23,23,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project B meeting,,
0,23,23,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project C meeting,Test Title,
0,23,23,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project A,Test Title,
0,12,12,2020-12-01,01:00:00,1.0,12/08/20,03:37:50,Project A,Test Title,
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project A,Test Title,
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project C,Test Title,
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project B meeting,Test Title,
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project B meeting,This is a test title,sdsdsd
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project C,This is a test title,sdsdsd
0,12,12,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project A,This is a test title,sdsdsd
12,12,732,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project A,This is a test title,sdsdsd
01,12,72,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project A,This is a test title,sdsdsd
01,123,183,2020-12-02,02:30:00,2.5,12/08/20,03:37:50,Project A,This is a test title,sdsdsd
01,123,183,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Project A,This is a test title,sdsdsd
01,123,183,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Client Meeting,This is a test title,sdsdsd
01,12,72,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Client Meeting,This is a test title,sdsdsd
01,12,72,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Client Meeting,This is a test title,
01,12,72,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Client Meeting,,
01,12,72,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Project A,,
07,12,432,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Project A,,
07,1,421,2020-12-03,03:10:00,3.1666666666666665,12/08/20,03:37:50,Project A,,
