hours,Minutes,TotalMinutes,Activity done on(date),Activity done at(time),ActivityDoneTimeNumeric,Activity logged on(date),Activity logged at(time),Category,Title,Description
12,211,931,12/09/20,03:00:28,3.0077777777777777,12/09/20,03:00:28,Client Meeting,,
12,1,721,12/09/20,03:36:32,3.608888888888889,12/09/20,03:36:32,Project A,,
12,1,721,12/09/20,03:37:37,3.6269444444444443,12/09/20,03:37:37,Project B meeting,,
12,1,721,12/09/20,03:39:19,3.6552777777777776,12/09/20,03:39:19,Project C,,
12,1,721,12/09/20,03:39:27,3.6574999999999998,12/09/20,03:39:27,Project C,,
12,1,721,12/09/20,03:39:54,3.665,12/09/20,03:39:54,Client Meeting,,
12,1,721,12/09/20,03:40:45,3.6791666666666667,12/09/20,03:40:45,Client Meeting,,
12,1,721,12/09/20,03:44:36,3.743333333333333,12/09/20,03:44:36,Project C,,
12,1,721,12/09/20,03:47:23,3.789722222222222,12/09/20,03:47:23,Project C,,
12,1,721,12/09/20,03:51:23,3.856388888888889,12/09/20,03:51:23,Project C,,
12,1,721,12/09/20,03:51:42,3.861666666666667,12/09/20,03:51:42,Project C,,
12,1,721,12/09/20,03:53:07,3.8852777777777776,12/09/20,03:53:07,Project C,,
12,1,721,12/09/20,03:53:19,3.888611111111111,12/09/20,03:53:19,Project C,,
12,12,732,12/09/20,03:53:47,3.8963888888888887,12/09/20,03:53:47,Project C,,
12,43,763,12/09/20,03:55:21,3.9225,12/09/20,03:55:21,Project C,,
32,1,1921,12/09/20,03:56:11,3.936388888888889,12/09/20,03:56:11,Project C,,
12,1,721,12/09/20,03:56:53,3.948055555555556,12/09/20,03:56:53,Project C,,
12,1,721,12/09/20,03:59:13,3.9869444444444446,12/09/20,03:59:13,Project C,,
43,1,2581,12/09/20,04:00:56,4.015555555555555,12/09/20,04:00:56,Project C,,
21,1,1261,12/09/20,04:01:44,4.028888888888889,12/09/20,04:01:44,Project C,,
12,1,721,12/09/20,04:01:55,4.031944444444444,12/09/20,04:01:55,Project C,,
12,1,721,12/09/20,04:05:39,4.094166666666666,12/09/20,04:05:39,Project C,,
12,1,721,12/09/20,04:08:19,4.1386111111111115,12/09/20,04:08:19,Project C,,
12,1,721,12/09/20,04:08:37,4.143611111111111,12/09/20,04:08:37,Project C,,
12,1,721,12/09/20,04:11:07,4.185277777777778,12/09/20,04:11:07,Project B,,
12,1,721,12/09/20,04:11:19,4.188611111111111,12/09/20,04:11:19,Project B,,
